"","Year","IceOnDate","IceOnJulian","IceOffDate","IceOffJulian","AnnualMax","AnnualMin","AnnualRain","AnnualSnow","SnowDepth","SpringMax","SpringMin","SpringRain","SpringSnow","SummerMax","SummerMin","SummerRain","SummerSnow","FallMax","FallMin","FallRain","FallSnow","WinterMax","WinterMin","WinterRain","WinterSnow"
"23",1949,"",NA,"16-May",136,28.33333333,-40.55555556,222.380330484174,285.87366945,1168.4,18.88888889,-30,36.388293761,63.687706191,28.33333333,-3.333333333,108.557318714,5.234681179,21.66666667,-17.22222222,76.615298415,67.910701588,3.333333333,-40.55555556,0.8194195941736,149.040580492
"24",1950,"",NA,"",NA,28.33333333,-38.33333333,224.609499793636,410.644500237,1244.6,15.55555556,-29.44444444,18.407746066,125.86425403,24.44444444,-6.111111111,124.438322087,15.261677889,28.33333333,-28.88888889,78.364923985,91.307075975,8.333333333,-38.33333333,3.398507655636,178.211492343
"25",1951,"26-Dec",360,"18-May",138,26.66666667,-45,289.8547961271,283.677203769,1473.2,18.33333333,-36.11111111,41.9034986195,70.11050138,26.66666667,-10,212.014429957,10.235569936,20.55555556,-26.66666667,35.114424244,54.293575749,7.777777778,-45,0.8224433066,149.037556704
"26",1952,"25-Dec",359,"16-May",136,24.44444444,-36.11111111,227.74220483344,214.725795143,1498.6,18.33333333,-34.44444444,49.456352588,57.477647373,24.44444444,-5,168.886843637,1.547156436,22.22222222,-28.88888889,8.794379085,6.445620915,5,-36.11111111,0.60462952344,149.255370419
"27",1953,"11-Jan",376,"20-May",140,26.11111111,-36.11111111,127.995959003,254.52804092,1066.8,17.22222222,-32.22222222,40.116915993,97.551084012,26.11111111,-3.888888889,53.658304469,4.761695461,21.11111111,-18.88888889,30.211427249,22.620572751,6.111111111,-36.11111111,4.009311292,129.594688696
"28",1954,"21-Dec",355,"18-May",138,27.22222222,-34.44444444,208.6844664021,270.613533476,1524,22.22222222,-34.44444444,44.239373853,83.776626124,27.22222222,-7.222222222,139.864742503,24.981257415,23.33333333,-25,22.71238499,28.84961501,5,-32.22222222,1.8679650561,133.006034927
"29",1955,"14-Dec",348,"27-May",147,31.66666667,-37.22222222,233.6462334208,386.621766445,1422.4,19.44444444,-37.22222222,45.5761271927,95.647872732,31.66666667,-5.555555556,98.432333496,9.009666447,26.11111111,-34.44444444,71.1086929921,99.579306992,3.333333333,-37.22222222,18.52907974,182.384920274
"30",1956,"23-Dec",357,"25-May",145,31.66666667,-43.33333333,132.475964078468,299.57803571,1498.6,22.77777778,-38.88888889,33.96682245,95.573177514,31.66666667,-5.555555556,70.347579353,0.518420556,28.33333333,-27.77777778,27.085445611,57.242554384,3.333333333,-43.33333333,1.0761166644681,146.243883256
"31",1957,"31-Dec",365,"29-May",149,26.66666667,-41.11111111,78.988829402,243.083170529,1143,20.55555556,-29.44444444,33.069335713,74.118664248,26.66666667,-3.333333333,18.519323869,0.02267613,22.77777778,-26.66666667,23.246130747,38.221869297,5.555555556,-41.11111111,4.154039073,130.719960854
"32",1958,"2-Jan",367,"21-May",141,26.66666667,-33.33333333,193.312875809,246.615124101,1930.4,22.22222222,-28.33333333,35.962945159,87.481054889,26.66666667,-2.777777778,137.341946023,0.580053891,20,-25,17.32952928,67.506470715,9.444444444,-33.33333333,2.678455347,91.047544606
