Year,MinJan,MaxJan,PrecipJan,MinFeb,MaxFeb,PrecipFeb,MinMar,MaxMar,PrecipMar,MinApr,MaxApr,PrecipApr,MinMay,MaxMay,PrecipMay,MinJun,MaxJun,PrecipJun,MinJul,MaxJul,PrecipJul,MinAug,MaxAug,PrecipAug,MinSep,MaxSep,PrecipSep,MinOct,MaxOct,PrecipOct,MinNov,MaxNov,PrecipNov,MinDec,MaxDec,PrecipDec,MaxSnowDepth_cm
1953,-27.8,25.2,6.0198,-50.8,18.2,3.5052,-43.8,33.2,3.7846,-35.8,40.2,4.3942,-9.8,45.2,5.588,7.2,56.2,3.4544,12.2,61.2,0.635,11.2,59.2,1.7526,6.2,52.2,2.1336,-4.8,51.2,1.1684,-19.8,33.2,1.9812,-30.8,21.2,3.8354,91
1954,-36.8,21.2,6.985,-39.8,23.2,3.7846,-47.8,25.2,4.6736,-23.8,34.2,5.6642,-16.8,54.2,2.4638,1.2,60.2,9.7282,16.2,63.2,4.1402,9.2,60.2,2.6162,-3.8,56.2,1.7272,-13.8,47.2,2.0066,-30.8,35.2,1.4224,-43.8,19.2,3.2258,114
1955,-44.8,12.2,2.7432,-52.8,20.2,4.0132,-52.8,27.2,5.6388,-23.8,36.2,2.7686,-1.8,49.2,5.715,4.2,57.2,4.9276,8.2,71.2,4.064,10.2,62.2,1.8796,0.2,61.2,3.3782,-13.8,54.2,5.969,-47.8,27.2,7.7216,-48.8,20.2,13.335,117
1956,-51.8,20.2,9.144,-63.8,19.2,3.2004,-55.8,27.2,4.191,-34.8,37.2,6.985,-5.8,55.2,1.778,9.2,56.2,2.8194,10.2,71.2,2.1844,4.2,60.2,2.159,-0.8,65.2,1.6764,-18.8,48.2,3.7084,-35.8,27.2,3.048,-38.8,19.2,2.6416,168
1957,-59.8,12.2,4.0386,-30.8,24.2,3.9624,-38.8,30.2,4.3942,-26.8,46.2,2.6162,2.2,51.2,3.937,10.2,57.2,0,9.2,58.2,0.4064,8.2,62.2,3.0226,4.2,55.2,1.4224,-2.8,50.2,2.1336,-33.8,30.2,2.5908,-34.8,20.2,6.0452,127
1958,-45.8,18.2,2.2098,-37.8,31.2,4.0386,-36.8,29.2,4.6482,-25.8,31.2,4.445,-5.8,54.2,3.2512,14.2,61.2,7.3914,9.2,57.2,4.0894,11.2,62.2,3.6068,0,0,0,-7.8,50.2,1.3716,-30.8,28.2,7.112,-24.8,23.2,3.1242,104
1959,-51.8,22.2,4.6228,-43.8,18.2,4.0386,-42.8,27.2,3.175,-23.8,36.2,2.9972,-5.8,46.2,6.731,9.2,58.2,3.8608,10.2,63.2,1.7018,13.2,62.2,3.0734,-5.8,56.2,4.2164,-7.8,41.2,3.2004,-44.8,35.2,2.6162,-34.8,25.2,1.2192,107
1960,-51.8,21.2,3.3782,-53.8,15.2,3.7084,-41.8,38.2,3.2004,-18.8,39.2,4.8768,-0.8,49.2,5.3594,6.2,57.2,5.207,13.2,67.2,2.3622,6.2,62.2,5.4102,5.2,57.2,0.9652,-18.8,47.2,2.9972,-30.8,33.2,5.0038,-36.8,24.2,2.667,81
1961,-54.8,20.2,0.7112,-37.8,22.2,6.8072,-31.8,35.2,3.302,-21.8,34.2,2.5908,-3.8,52.2,5.588,10.2,61.2,1.2446,14.2,61.2,2.2098,17.2,66.2,11.3792,-3.8,51.2,10.3886,-13.8,42.2,6.1468,-27.8,32.2,3.1242,-44.8,14.2,5.6642,109
1962,-64.8,26.2,4.1148,-60.8,27.2,10.1854,-41.8,26.2,4.0894,-24.8,45.2,3.3528,-4.8,38.2,7.2898,3.2,57.2,5.969,11.2,57.2,7.0612,7.2,60.2,7.0358,-1.8,54.2,3.1496,-1.8,48.2,1.6256,-20.8,38.2,4.4196,-44.8,27.2,1.7526,152
1963,-67.8,19.2,3.4036,-37.8,31.2,3.6322,-41.8,31.2,1.8288,-23.8,35.2,6.9342,3.2,47.2,5.715,7.2,52.2,7.1628,10.2,63.2,2.7178,9.2,61.2,3.048,7.2,58.2,7.1628,-10.8,54.2,2.8956,-17.8,28.2,3.8354,-38.8,24.2,2.5654,76
1964,-44.8,23.2,5.715,-48.8,12.2,1.905,-43.8,35.2,3.6068,-22.8,38.2,2.9972,-5.8,48.2,5.6896,6.2,52.2,12.573,13.2,63.2,2.2606,9.2,62.2,2.7178,-0.8,51.2,0.7112,-12.8,50.2,3.2766,-30.8,18.2,4.1656,-55.8,20.2,11.7856,114
1965,-44.8,13.2,10.16,-61.8,18.2,1.9558,-59.8,27.2,1.4732,-17.8,32.2,6.6548,-4.8,41.2,4.826,7.2,50.2,5.0546,11.2,59.2,2.0574,0,0,0,-10.8,47.2,5.5626,-0.8,46.2,2.1336,-20.8,38.2,3.9116,-32.8,24.2,4.4958,163
