MinJan,MeanJan,MaxJan,RainJan,SnowJan,MinFeb,MeanFeb,MaxFeb,RainFeb,SnowFeb,MinMar,MeanMar,MaxMar,RainMar,SnowMar,MinApr,MeanApr,MaxApr,RainApr,SnowApr,MinMay,MeanMay,MaxMay,RainMay,SnowMay,MinJun,MeanJun,MaxJun,RainJun,SnowJun,MinJul,MeanJul,MaxJul,RainJul,SnowJul,MinAug,MeanAug,MaxAug,RainAug,SnowAug,MinSep,MeanSep,MaxSep,RainSep,SnowSep,MinOct,MeanOct,MaxOct,RainOct,SnowOct,MinNov,MeanNov,MaxNov,RainNov,SnowNov,MinDec,MeanDec,MaxDec,RainDec,SnowDec,AnnualMin,AnnualMean,AnnualMax,AnnualRain,AnnualSnow
-36.7,-11.42903226,3.9,0,33.7,-37.8,-13.2137931,0.6,0.2,37.1,-31.1,-5.283870968,13.3,0.5,31.5,-18.3,-0.453333333,13.9,15.1,33.8,-8.3,3.9,19.4,38.6,15.1,-4.4,9.973333333,23.9,51.8,0.1,-0.6,13.74193548,29.4,23.9,0,-4.4,11.66774194,26.7,52,2.2,-5,8.782758621,23.9,7.8,0,-18.3,2.777419355,18.3,9.8,20.3,-25,-4.493333333,10.6,4.7,45.3,-28.3,-9.193548387,5.6,0.1,26.5,-37.8,0.586027397,29.4,204.5,245.6
-38.3,-11.71612903,3.3,0,7.1,-28.9,-6.542857143,4.4,2.7,65.4,-25.6,-5.587096774,11.7,4.7,28.2,-20,-2.173333333,11.1,9.5,16.3,-10,4.622580645,21.1,40.1,15.8,-2.2,11.42758621,26.1,12.4,0,0,13.91935484,26.1,22.2,0,1.7,13.81666667,28.9,112,0,-10,4.556666667,20.6,68.3,35.7,-15.6,1.080645161,15.6,11,50.2,-23.3,-5.536666667,10,0.9,16.4,-32.8,-11.86774194,0,0.3,56.5,-38.3,0.474104683,28.9,284.1,291.6
-43.9,-15.01612903,6.7,0,41.4,-41.7,-8.021428571,7.2,18.3,83.6,-31.1,-7.870967742,6.7,0.6,40.6,-21.7,-0.473333333,17.2,14.4,19,-10.6,4.013793103,13.3,54.2,18.6,-6.1,9.008695652,23.9,35,8.9,-1.7,11.36451613,23.9,70.4,0.1,-3.9,11.19032258,25.6,66.5,3.9,-8.9,8.12,22.2,30.5,0.9,-8.9,4.51,18.9,14.1,2.3,-19.4,-2.64,13.3,2.7,41.6,-32.8,-7.24516129,7.2,0.3,17.4,-43.9,0.421408451,25.6,307,278.3
-45.6,-14.39677419,2.8,0.1,34.2,-28.9,-6.207142857,9.4,5.6,31,-31.1,-7.106451613,9.4,4.2,14.1,-21.1,-2.16,11.7,19.1,50.3,-6.1,4.703225806,18.3,46,11.2,-3.9,7.910714286,21.1,70.5,1.4,-2.2,12.15666667,27.2,27.2,0,-2.8,12.35,26.1,30.3,0,-3.9,9.665517241,24.4,71.5,0.5,-13.9,4.89,22.2,23.2,5.9,-17.8,-3.633333333,7.8,3.8,34.7,-29.4,-9.083870968,5.6,0,25.8,-45.6,0.65097493,27.2,301.5,209.1
-32.8,-12.80322581,5,0,57.1,-35,-14.47931034,-1.1,0,19.2,-32.2,-10.2516129,11.7,0.1,36,-20.6,-1.153333333,13.3,4,25.9,-11.1,3.392857143,18.9,33.6,22.7,-4.4,6.903846154,21.1,80.2,13.3,-0.6,13.48333333,27.2,22.6,0,-2.8,11.16451613,26.7,26.1,1.1,-8.3,7.427586207,20.6,7,0.2,-15,2.84516129,20,17.9,14.8,-25,-7.477777778,2.2,0.7,27.1,-38.9,-10.19354839,3.3,12.1,105.7,-38.9,-0.843768116,27.2,204.3,323.1
-32.8,-11.19032258,-0.6,0.5,101.1,-42.2,-11.96666667,2.2,0,19.5,-41.1,-14.07741935,7.2,0,14.8,-17.8,-0.953333333,10,28.9,37.5,-10.6,2.243333333,15,22.1,26,-3.9,7.3,20,41.2,1.7,-1.7,12.41290323,25,20.5,0,0,#DIV/0!,0,0,0,-13.9,3.937931034,18.3,37.9,17.8,-8.3,4.012903226,17.8,13.7,7.7,-19.4,-2.1,13.3,2.8,36.3,-26.1,-8.261290323,5.6,0.4,44.6,-42.2,-1.78190184,25,168,307
-33.9,-11.20967742,1.7,0.3,30.6,-31.7,-12.425,1.1,0,23.3,-36.1,-6.583870968,12.8,0.5,32.6,-26.1,-2.476666667,11.1,5.7,26.3,-11.1,5.407142857,21.7,31.5,15.5,-5,7.732,22.2,39.4,3.2,0.6,14.07333333,28.3,9.4,0,-2.2,12.19285714,27.2,26.1,0,-5.6,10.49130435,26.1,95.9,2.2,-12.2,1.242307692,15.6,2.9,12,-21.7,-3.353571429,10.6,5.4,36.7,-28.9,-9.135483871,2.2,1.3,53.5,-36.1,0.091445428,28.3,218.4,235.9
-33.3,-8.764516129,3.3,1.7,90.3,-31.7,-9.975,3.9,0.2,36.6,-33.9,-6.566666667,12.8,1.2,31.5,-18.3,-2.983333333,8.3,2.4,31.7,-18.9,2.311538462,19.4,21.5,1.4,-3.9,7.975,22.2,67.6,1.1,1.1,13.38333333,25.6,58.3,0,0,12.82903226,26.1,25.8,0,-5,8.762068966,22.8,31.2,4.8,-11.7,2.003333333,14.4,54.2,28.8,-25.6,-3.328,9.4,5.8,24.4,-33.3,-12.31612903,2.2,0.1,43.2,-33.9,0.389795918,26.1,270,293.8
-32.2,-12.0516129,3.9,0.1,48.2,-28.9,-7.672413793,7.2,3.7,20.1,-26.7,-5.235483871,9.4,0,20.2,-22.2,-3.63,13.9,2.2,22,-11.7,2.185,18.9,11.6,12.7,-3.3,8.694736842,23.3,24.4,1.1,-2.8,12.64137931,26.1,19.8,0,-1.7,10.7,25.6,124.8,2.2,0,#DIV/0!,0,0,0,0,#DIV/0!,0,0,0,-22.8,-6.420833333,6.1,2.1,24.3,-37.8,-9.188,4.4,0.2,30.9,-37.8,-1.278438662,26.1,188.9,181.7
-32.2,-9.509677419,2.2,12.5,130.2,-28.9,-10.525,4.4,0,22.5,-32.2,-9.567741935,8.3,0.2,12.1,-13.3,0.476666667,16.7,0.8,15.1,-8.3,5.809677419,21.7,12.7,0.5,-3.3,8.352,23.3,150.6,10.7,-1.7,13.73548387,25.6,35.8,0,-2.2,15.28064516,32.8,13,0,-5,10.63809524,24.4,41.4,0,-14.4,-1.62,12.8,2.3,10.7,-23.3,-3.906666667,11.1,1.5,12.8,-28.3,-8.396774194,5,1.4,34.9,-32.2,0.676764706,32.8,272.2,249.5
-38.3,-9.506451613,4.4,2.7,53.4,-26.1,-8.107142857,4.4,0.4,20.1,-30,-7.887096774,4.4,3.2,56.8,-25,-5.14,10,3,48,-17.2,3.196774194,20.6,37.2,11.5,0.6,13.72,23.9,1.8,0,-2.2,13.51034483,29.4,52.5,0,-1.1,13.94827586,29.4,24.7,0,0,#DIV/0!,0,0,0,0,#DIV/0!,0,0,0,-23.9,-4.456666667,5.6,6.5,64.3,-31.1,-10.38965517,2.2,0.4,60.6,-38.3,-1.433699634,29.4,132.4,314.7
-38.3,-9.806451613,5,2.3,75.4,-35,-11.04642857,5,0.2,42.5,-36.1,-8.393548387,7.2,2.9,64.2,-27.2,-2.7,12.2,12.5,25.2,-9.4,3.219354839,21.1,15,8.9,0,#DIV/0!,0,0,0,-3.9,11.61935484,26.7,26.4,0,-2.8,14.59,28.9,25.8,0,-11.1,6.888888889,21.7,43.1,1,0,#DIV/0!,0,0,0,-21.1,-5.786666667,10,0.8,33.5,-31.1,-11.62903226,1.7,0.3,67.7,-38.3,-1.604467354,28.9,129.3,318.4
-40.6,-12.09677419,1.1,0.8,51.5,-41.1,-9.496551724,4.4,2.2,45.5,-30,-4.693548387,11.7,4.9,26.7,-22.8,-2.57,11.7,5.4,20.1,-17.8,3.3,18.3,19.1,6.7,-3.9,8.53,23.3,48.2,2.7,-5.6,10.70322581,26.7,26.9,0,-2.8,11.3516129,28.3,49.2,0,-13.3,4.406666667,21.1,65.9,24.1,-23.3,0.884615385,15,10.5,21.6,-27.8,-5.726666667,5,1.2,26.1,-38.9,-12.39677419,1.7,1,27.2,-41.1,-0.64265928,28.3,235.3,252.2
-39.4,-14.51290323,3.3,0.2,30.2,-34.4,-10.65,4.4,0.1,19.7,-28.3,-7.674193548,6.7,0.9,26.3,-23.3,-3.973333333,10.6,5.3,16.8,-15.6,3.112903226,20.6,13.4,8.6,-7.2,8.296666667,25,26.2,4.7,-5,11.55806452,26.7,22.9,0,-2.8,11.80322581,26.7,36.2,0,-5,6.786666667,23.3,42.7,7,-11.1,3.172413793,17.8,8.1,16.6,-22.2,-5.720689655,10,6.7,66.1,-27.2,-9.422580645,5,0.2,43.2,-39.4,-0.546961326,26.7,162.9,239.2
